iter	Logloss
0	0.4418573565
1	0.3562640081
2	0.305711771
3	0.2730216204
4	0.2276303708
5	0.1952971801
6	0.1719509355
7	0.1613682516
8	0.1530501595
9	0.1381222466
10	0.1324039817
11	0.1241756246
12	0.1199302115
13	0.1146618336
14	0.1097630605
15	0.1063449952
16	0.1030949088
17	0.09607267959
18	0.09144907791
19	0.08804933923
20	0.08442970455
21	0.08164685904
22	0.07920477734
23	0.07714451118
24	0.07525918653
25	0.07367383303
26	0.07244284812
27	0.07137628918
28	0.06933619011
29	0.0669765346
30	0.06529209399
31	0.06358428449
32	0.06131699365
33	0.06012538013
34	0.05839598535
35	0.05677793385
36	0.05477147527
37	0.05346073549
38	0.05250224535
39	0.05115431274
40	0.05026611597
41	0.04936794037
42	0.04849588383
43	0.04677681725
44	0.0451185091
45	0.04370713526
46	0.04296736892
47	0.04151707153
48	0.04062994747
49	0.03950339879
50	0.03885455049
51	0.03787875858
52	0.03740017474
53	0.03658833121
54	0.03604153776
55	0.03517691008
56	0.03467653823
57	0.03373784499
58	0.0331274875
59	0.03254103877
60	0.03068355476
61	0.03030438855
62	0.02944424008
63	0.02858253533
64	0.02806324918
65	0.02752598543
66	0.02685696933
67	0.0262114408
68	0.02559164687
69	0.02494934044
70	0.0242594324
71	0.02395684126
72	0.02348267384
73	0.02297257456
74	0.02263918538
75	0.02210835088
76	0.02170605351
77	0.02104048724
78	0.02051368901
79	0.02025573542
80	0.01988431326
81	0.01920633713
82	0.01899408974
83	0.01881116232
84	0.0184017596
85	0.0181750606
86	0.0177161407
87	0.017264641
88	0.01695088681
89	0.01676894119
90	0.01643001741
91	0.01609079918
92	0.01588568228
93	0.01572210627
94	0.01540063041
95	0.01517907496
96	0.01497817368
97	0.01470629382
98	0.01440947692
99	0.01415408427
